appid,player_id,game_name,play_time,genres,categories,currency,initial_price,final_price,discount_percent
342630,0,Witch's Pranks: Frog's Fortune Collector's Edition,0,"['Adventure', 'Casual', 'Indie']","['Family Sharing', 'Single-player']",GBP,589,589,0
342650,0,Fermi's Path,91,"['Action', 'Casual', 'Indie', 'Racing', 'Simulation']","['Family Sharing', 'Full controller support', 'Includes level editor', 'Remote Play on TV', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards', 'Steam Workshop']",GBP,599,599,0
342860,0,Dark Quest,0,"['Indie', 'RPG', 'Strategy']","['Family Sharing', 'Single-player']",GBP,249,249,0
342970,0,Pixel Survivors,242,"['Casual', 'Indie', 'Simulation', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,279,279,0
342980,0,Destination Sol,0,"['Action', 'Free To Play', 'Indie', 'RPG']","['Partial Controller Support', 'Single-player', 'Steam Cloud']",0,0,0,0
343020,0,MagNets,217,"['Action', 'Indie']","['Family Sharing', 'Full controller support', 'Remote Play on TV', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,559,559,0
343090,0,SimpleRockets,265,"['Indie', 'Simulation']","['Family Sharing', 'Single-player', 'Steam Trading Cards']",GBP,669,669,0
343100,0,Overture,223,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']","['Captions available', 'Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",GBP,399,399,0
343170,0,Cyberpunk 3776,0,"['Action', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Leaderboards']",GBP,399,399,0
343180,0,Top Trumps Turbo,0,['Casual'],"['Family Sharing', 'Single-player']",GBP,249,249,0
343270,0,Disillusions Manga Horror,57,"['Adventure', 'Indie']","['Cross-Platform Multiplayer', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Single-player', 'Steam Trading Cards']",GBP,79,79,0
343280,0,Zotrix,315,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy']","['Family Sharing', 'Full controller support', 'Remote Play on TV', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,999,999,0
343340,0,Tiamat X,285,"['Action', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,159,159,0
343360,0,Particula,658,"['Casual', 'Indie', 'Strategy']","['Co-op', 'Family Sharing', 'Multi-player', 'Online Co-op', 'Single-player', 'Steam Trading Cards']",GBP,445,445,0
343390,0,Elementary My Dear Majesty!,210,['Casual'],"['Family Sharing', 'Single-player', 'Steam Trading Cards']",GBP,169,84,50
343410,0,inSynch,0,['Indie'],"['Family Sharing', 'Single-player', 'Steam Achievements']",GBP,399,399,0
343560,0,Bob Was Hungry,237,['Indie'],"['Co-op', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",GBP,850,850,0
343630,0,CroNix,0,"['Action', 'Casual', 'Free To Play', 'Strategy']","['Co-op', 'Multi-player']",0,0,0,0
343710,0,KHOLAT,273,"['Adventure', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,1499,1499,0
343740,0,InMind VR,0,"['Action', 'Casual', 'Free To Play', 'Indie']","['Full controller support', 'Single-player', 'VR Support', 'VR Supported']",0,0,0,0
346010,0,Besiege,252,"['Indie', 'Simulation']","['Co-op', 'Family Sharing', 'Includes level editor', 'LAN PvP', 'Multi-player', 'Online PvP', 'PvP', 'Remote Play on Tablet', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards', 'Steam Workshop']",EUR,1479,1479,0
346900,0,AdVenture Capitalist,2380,"['Casual', 'Free To Play', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",0,0,0,0
